,lat,lng,city,country,temp_max,humidity,wind_speed,cloudiness,Date
0,-86.79,-3.66,hermanus,ZA,58.7,92.0,4.16,12.0,2018-04-03
1,22.93,-38.54,ponta do sol,BR,72.2,90.0,4.16,12.0,2018-04-03
2,28.42,-141.93,hilo,US,82.4,69.0,6.93,75.0,2018-04-03
3,-59.93,147.17,hobart,AU,59.0,58.0,8.05,0.0,2018-04-03
4,-57.62,120.27,albany,US,39.2,86.0,4.7,90.0,2018-04-03
5,41.47,81.54,aksu,KZ,23.0,100.0,2.24,0.0,2018-04-03
6,70.44,-11.12,hofn,IS,33.86,100.0,23.73,0.0,2018-04-03
7,63.64,-125.18,norman wells,CA,10.4,51.0,9.17,75.0,2018-04-03
8,25.07,-161.42,kapaa,US,78.8,65.0,14.99,90.0,2018-04-03
9,44.49,76.77,boralday,KZ,30.2,86.0,4.47,20.0,2018-04-03
10,-17.65,-17.9,georgetown,GY,80.6,78.0,13.87,20.0,2018-04-03
11,-87.76,-85.0,ushuaia,AR,42.8,60.0,6.93,20.0,2018-04-03
12,-65.66,177.61,kaitangata,NZ,61.22,58.0,33.35,0.0,2018-04-03
13,-21.22,-150.34,moerai,PF,75.08,100.0,8.75,88.0,2018-04-03
14,-34.31,-78.68,lebu,ET,62.6,63.0,11.41,75.0,2018-04-03
15,-14.91,-28.2,maragogi,BR,77.6,93.0,7.4,32.0,2018-04-03
16,-27.7,95.15,carnarvon,ZA,63.38,72.0,7.4,80.0,2018-04-03
17,-49.35,-175.76,vaini,IN,67.16,91.0,2.37,0.0,2018-04-03
18,-19.67,42.32,morondava,MG,80.03,93.0,5.39,56.0,2018-04-03
19,47.71,66.26,zhezkazgan,KZ,29.0,71.0,16.69,0.0,2018-04-03
20,-15.31,112.53,karratha,AU,77.15,85.0,3.49,0.0,2018-04-03
21,-22.54,-48.01,sao pedro,PT,55.4,87.0,10.29,75.0,2018-04-03
22,49.28,78.35,semey,KZ,20.0,88.0,7.4,20.0,2018-04-03
23,-77.19,-87.05,punta arenas,CL,44.6,65.0,4.7,75.0,2018-04-03
24,49.55,114.21,aksha,RU,13.97,42.0,3.38,64.0,2018-04-03
25,-18.44,-157.52,avarua,CK,84.2,79.0,5.82,75.0,2018-04-03
26,29.45,-90.34,houma,CN,47.36,50.0,4.05,64.0,2018-04-03
27,89.37,-106.3,yellowknife,CA,8.6,42.0,13.87,20.0,2018-04-03
28,-30.13,123.06,esperance,TT,82.4,65.0,18.34,20.0,2018-04-03
29,59.79,156.3,omsukchan,RU,27.02,87.0,11.43,88.0,2018-04-03
30,-54.28,-154.28,mataura,NZ,60.77,66.0,27.76,68.0,2018-04-03
31,64.37,75.69,gubkinskiy,RU,-3.05,51.0,6.85,56.0,2018-04-03
32,83.82,23.84,longyearbyen,NO,8.6,55.0,17.22,0.0,2018-04-03
33,73.22,126.11,tiksi,RU,2.36,77.0,6.62,56.0,2018-04-03
34,-45.04,-79.09,castro,CL,59.78,95.0,11.32,92.0,2018-04-03
35,42.29,-3.32,burgos,ES,42.8,87.0,19.46,0.0,2018-04-03
36,65.34,-54.52,maniitsoq,GL,26.3,80.0,2.04,0.0,2018-04-03
37,85.24,-154.26,barrow,AR,75.89,40.0,7.96,0.0,2018-04-03
38,-3.28,-150.49,atuona,PF,80.75,100.0,16.46,100.0,2018-04-03
39,33.07,-102.27,brownfield,US,68.0,19.0,21.92,1.0,2018-04-03
40,68.46,133.62,verkhoyansk,RU,12.08,79.0,5.5,88.0,2018-04-03
41,-23.33,-1.87,jamestown,AU,44.57,85.0,5.61,0.0,2018-04-03
42,-18.1,172.72,isangel,VU,79.13,100.0,14.23,76.0,2018-04-03
43,30.24,121.38,xushan,CN,68.0,88.0,2.24,92.0,2018-04-03
44,6.2,128.61,san isidro,PH,69.95,99.0,0.69,76.0,2018-04-03
45,-15.91,-78.82,pisco,PE,75.2,64.0,21.92,0.0,2018-04-03
46,-35.56,-28.06,arraial do cabo,BR,86.0,78.0,2.24,40.0,2018-04-03
47,-51.75,131.27,mount gambier,AU,44.03,87.0,2.26,0.0,2018-04-03
48,-39.88,-72.17,panguipulli,CL,62.6,82.0,5.82,90.0,2018-04-03
49,-10.91,-103.54,puerto ayora,EC,82.4,69.0,9.17,20.0,2018-04-03
50,-52.42,-52.55,necochea,AR,73.91,61.0,5.61,0.0,2018-04-03
51,-37.89,80.58,bambous virieux,MU,80.6,88.0,8.05,75.0,2018-04-03
