compound score,media source,tweet date,tweet negative score,tweet neutral score,tweet positive score,tweet source,tweet text
-0.4927,@BBC,Tue Apr 10 18:42:00 +0000 2018,0.158,0.842,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","It wasn't until Henry VIII's reign that the #TowerOfLondon became really notorious as a place of imprisonment, tort… https://t.co/Lkoj4s5XH1"
-0.5106,@BBC,Tue Apr 10 18:00:27 +0000 2018,0.216,0.784,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Meet Rebekah - a former professional footballer who changed career and became a prison officer. https://t.co/D5H4aLBVln
0.0,@BBC,Tue Apr 10 16:58:05 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🌶🤯 A man who ate the world's hottest chilli pepper in a chilli-eating contest ended up in hospital after experienci… https://t.co/aiRSOhb4eI
0.0,@BBC,Tue Apr 10 16:34:54 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbccomedy: Henry of Eight, the Tudor Kim Kardashian. #CunkOnBritain @MissDianeMorgan https://t.co/VuQyfSFyRM"
0.0,@BBC,Tue Apr 10 16:32:08 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","👭 Ten celebrity pairs who look so freakily alike they could be twins. #NationalSiblingsDay
👉 https://t.co/WAUVA2c8e4 https://t.co/wTkpghO1uv"
0.4227,@BBC,Tue Apr 10 16:02:03 +0000 2018,0.15,0.514,0.336,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😱 That's quite the party trick! 
#Doodlebugs https://t.co/IUz7r0qJcf"
0.6705,@BBC,Tue Apr 10 15:47:43 +0000 2018,0.066,0.726,0.208,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TWBBC: ""Our liberty is at risk when we hand over our data"" @thermoflynamics and @FinalBullet ask if we need to take control of our data…"
0.7351,@BBC,Tue Apr 10 15:28:35 +0000 2018,0.0,0.763,0.237,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCNWT: Have you ever spotted a @RealMancsy around Manchester? 🤔

These free prints pop up around the city, thanks to the anonymous art…"
0.8126,@BBC,Tue Apr 10 15:25:18 +0000 2018,0.0,0.732,0.268,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCR1: Do YOU look like this lady with a tablecloth on her head?

We need your help to recreate a painting from the 1800s 🎨👊

Kindly em…"
0.4939,@BBC,Tue Apr 10 15:18:36 +0000 2018,0.0,0.789,0.211,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @BBCTwo: Two tiger brothers enjoy their first swimming lesson. 🐯💦 #NationalSiblingsDay https://t.co/qiyB4N5EYr
0.6249,@BBC,Tue Apr 10 14:34:14 +0000 2018,0.0,0.796,0.204,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @AboutTheBBC: Today @englishheritage unveiled a blue plaque to former BBC Director-General Sir Hugh Carleton Greene. A great moderniser,…"
0.5423,@BBC,Tue Apr 10 13:00:36 +0000 2018,0.0,0.774,0.226,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🖼🎨 From Velázquez to van Gogh, explore 5 masterpieces of European painting. 
👉 https://t.co/wRpdRNUuz5 https://t.co/EVrV6Iat8H"
-0.5574,@BBC,Tue Apr 10 12:00:17 +0000 2018,0.375,0.625,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎥 The nasty side of social media. https://t.co/rKpSRqqjkd
-0.6997,@BBC,Tue Apr 10 11:00:18 +0000 2018,0.225,0.775,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🐶💅 The rise of 'extreme dog pampering' puts the welfare of pets in jeopardy and 'sends out an extremely worrying me… https://t.co/WTUIFUxaat
0.5093,@BBC,Tue Apr 10 10:16:15 +0000 2018,0.0,0.82,0.18,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @cbbc: This is cute, you two! 😍

@nikkilillyy &amp; @jemmawilson talk cakes and being a goth 💜 https://t.co/LcF6T8F9d6"
0.0,@BBC,Tue Apr 10 10:12:47 +0000 2018,0.0,1.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCBreakfast: Meet 'The Man Engine'. 
He's a tribute to our mining history. ⛏  #manengine https://t.co/sa6ykd3uUT"
-0.296,@BBC,Tue Apr 10 09:44:17 +0000 2018,0.121,0.879,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Iceland is to stop using palm oil in own-brand products by the end of 2018.
👉 https://t.co/jyQura5jVB https://t.co/K6HGJDMxrL"
-0.1779,@BBC,Tue Apr 10 09:34:46 +0000 2018,0.097,0.837,0.066,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcwritersroom: .@BBCR1 have just launched a new #comedy podcast called Kench with Ray Moss - No Stone Unturned by @benpartridge 
We ca…"
0.6369,@BBC,Tue Apr 10 09:05:51 +0000 2018,0.0,0.708,0.292,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBC6Music: Listen back to @RobertSmith’s exclusive interview about:
🖤 40 years of @TheCure
👄 Inviting @RollingStones to play @meltdownf…"
0.7096,@BBC,Tue Apr 10 09:05:17 +0000 2018,0.0,0.796,0.204,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBC6Music: Tonight from 7-9pm BST: Cillian Murphy sits in for @IggyPop. Here he is on how @tomwaits is helping to inspire his new role.…
0.6124,@CBS,Tue Apr 10 19:00:03 +0000 2018,0.064,0.688,0.248,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Today's biggest artists including @littlebigtown, @edsheeran &amp; @MarenMorris share what an honor it is to pay their… https://t.co/1Ebr8feo0R"
0.6976,@CBS,Tue Apr 10 15:30:00 +0000 2018,0.0,0.747,0.253,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","The legendary @eltonofficial said ""It's the most wonderful feeling when someone records your song or sings your son… https://t.co/Krlqs3qNck"
0.6597,@CBS,Mon Apr 09 20:00:00 +0000 2018,0.0,0.779,0.221,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Are you ready for a good time? Tomorrow, Elton John: I’m Still Standing - A GRAMMY®￼ Salute airs at 9/8c on CBS and… https://t.co/Z3Mnp1cJPa"
0.0,@CBS,Mon Apr 09 17:29:47 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa"
0.0,@CBS,Mon Apr 09 17:00:02 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ"
0.2732,@CBS,Mon Apr 09 15:00:00 +0000 2018,0.086,0.784,0.129,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
