City,Country,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness
sawtell,AU,-30.8,154.39,80.6,74,18.34,75
hilo,US,16.3,-152.68,73.4,78,5.82,90
albany,US,-71.47,115.23,33.8,80,10.29,90
busselton,AU,-53.87,90.84,68.11,100,12.77,0
vaini,IN,-57.24,-177.98,71.93,66,2.71,0
zhuhai,CN,19.73,114.45,44.6,33,8.95,20
kavieng,PG,6.99,154.26,85.66,100,4.38,20
hermanus,ZA,-89.05,-2.39,52,91,5.84,0
georgetown,GY,-11.78,-23.77,75.2,94,6.93,75
punta arenas,CL,-84.39,-110.96,46.4,70,9.17,0
cape town,ZA,-75.88,-8.64,64.4,72,5.82,0
jamestown,AU,-15.75,-0.92,74.95,68,10.98,32
rikitea,PF,-41.73,-118.86,80.39,100,21.27,68
yellowknife,CA,82.13,-113.85,-0.41,70,14.99,90
beatrice,US,40.01,-96.05,50,46,13.87,1
hasaki,JP,26.43,161.54,57.2,58,5.82,75
porto velho,BR,-7.91,-63.92,75.2,94,1.92,0
mataura,NZ,-73.45,-146.25,76.03,75,7.07,36
namibe,AO,-14.92,8.16,72.07,100,8.08,0
thompson,CA,66.92,-92.28,14,72,10.29,5
la ronge,CA,60.68,-105.37,12.2,66,8.05,75
bredasdorp,ZA,-68.33,25.79,60.8,93,3.36,32
alem paraiba,BR,-21.69,-42.74,72.79,95,0.69,92
chuy,UY,-44.08,-42.84,67.57,94,7.29,0
victoria,BN,-5.46,49.03,86,83,3.36,75
kapaa,US,25.08,-174.85,75.2,78,17.22,90
port alfred,ZA,-81.53,50.16,64.42,98,9.64,0
buraydah,SA,23.07,42.92,60.8,82,2.24,0
sept-iles,CA,52.67,-65.43,26.6,79,8.05,75
khuzhir,RU,53.92,107.8,1.06,85,5.61,12
labuhan,ID,-17.6,96.61,83.09,80,3.15,56
faanui,PF,-5.04,-151.61,82.78,97,20.38,80
dukat,RS,63.93,154.41,37.51,96,6.73,92
sangar,RU,65.96,128.76,-14.47,64,2.37,44
merauke,ID,-9.59,139.96,82.51,100,4.16,80
ribeira grande,PT,37.02,-37.09,57.08,100,18.59,64
mahebourg,MU,-51.25,79.48,80.6,83,16.11,40
bambous virieux,MU,-33.19,84.12,80.6,83,16.11,40
katsuura,JP,25.56,148.76,51.8,62,6.93,0
severo-kurilsk,RU,38.23,159.52,32.74,97,9.75,88
srandakan,ID,-9.27,109.7,85.12,78,4.27,8
butaritari,KI,9.61,161.46,83.63,100,7.96,12
norman wells,CA,75.24,-118.2,-7.61,63,5.82,20
iqaluit,CA,59.89,-75.17,3.2,77,21.92,75
tuktoyaktuk,CA,75.07,-131.54,-13.01,75,16.11,75
saint-philippe,CA,-37.18,57.48,33.8,94,10.29,90
eureka,US,40.53,-139.46,42.8,75,6.93,75
tsaratanana,MG,-16.94,47.09,68.38,94,4.72,0
adrar,DZ,27.02,1.52,60.8,53,9.17,0
nosy varika,MG,-21.16,49.61,74.63,100,8.08,88
ushuaia,AR,-62.4,-50.93,48.2,61,11.65,20
yerbogachen,RU,63.15,109.71,-11.82,56,2.93,8
saldanha,PT,-42.8,-7.09,43.72,95,15.68,92
new norfolk,AU,-73.27,128.39,75.2,53,6.93,20
vostok,RU,47.03,151.02,19.06,69,3.71,68
richards bay,ZA,-35.14,39.66,64.96,99,3.94,48
vila franca do campo,PT,42.7,-18.51,44.6,81,6.93,20
hamilton,BM,28.57,-66.23,64.4,55,40.26,40
taguatinga,BR,-12.9,-46.28,64.4,88,3.38,0
santa ana,SV,-13.05,-73.28,82.4,78,2.24,0
zhigansk,RU,65.08,124.34,-15.64,70,5.61,32
cherskiy,RU,75.83,163.36,-9.03,67,4.83,32
bluff,AU,-78.62,167.29,88.18,70,5.73,24
port hardy,CA,48.19,-132.66,32,91,3.36,75
kilindoni,TZ,-7.77,40.2,79.94,100,9.86,92
santa maria,BR,19.1,-21.84,69.64,84,6.73,36
airai,TL,7.8,139.74,77.56,97,1.92,36
pacific grove,US,26.95,-137.81,51.8,76,13.87,90
hirara,JP,20.52,128.02,75.2,88,19.46,75
port elizabeth,US,-45.16,26.67,37.4,74,21.92,90
khuzdar,PK,27.15,66.4,52.94,71,3.38,88
mar del plata,AR,-69.88,-19.74,67.16,46,16.35,0
lagoa,PT,42.49,-28.83,59,87,16.11,40
tiksi,RU,77.43,122.11,-16.27,71,18.37,56
barrow,AR,80.97,-157.01,72.7,70,9.98,0
guerrero negro,MX,22.61,-119.19,55.73,93,11.54,0
babaeski,TR,41.78,26.97,53.98,88,20.38,56
floresta,BR,-8.4,-38.5,68.78,99,3.04,76
atuona,PF,0.94,-139.31,77.74,100,12.88,92
dunedin,NZ,-51.67,175.22,73.73,77,5.06,20
zastron,ZA,-30.64,27.25,53.71,97,4.61,20
diamantino,BR,-13.82,-56.51,76.39,84,2.71,0
kodiak,US,50.46,-159.18,46.4,36,10.29,1
avarua,CK,-41.63,-163.94,84.2,79,6.93,40
peniche,PT,41.07,-14.61,55.4,82,11.41,40
ayia marina,GR,37.19,26.99,55.4,93,7.52,40
temyasovo,RU,53.08,58.03,-7.61,76,2.24,20
puerto ayora,EC,-20.78,-103.3,77.83,100,4.72,36
urkut,HU,47.03,17.63,23,85,6.93,90
kaa-khem,RU,51.89,95.02,5.24,76,7.29,44
taoudenni,ML,23.81,-5.85,61.72,37,3.15,0
