Geography,Estimate; SEX AND AGE - Total population,no_health_insurance,poverty_rate,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - Under 18 years,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - Under 18 years - Related children under 18 years,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - Under 18 years - Related children under 18 years - Related children under 5 years,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - Under 18 years - Related children under 18 years - Related children 5 to 17 years,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - 18 years and over,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - 18 to 64 years,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - 65 years and over,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - People in families,Estimate; POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people - Unrelated individuals 15 years and over,Estimate; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Renter-occupied housing units,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; UNITS IN STRUCTURE - Occupied housing units,"Estimate; UNITS IN STRUCTURE - Occupied housing units - 1-unit, detached or attached",Estimate; UNITS IN STRUCTURE - Occupied housing units - 2 to 4 units,Estimate; UNITS IN STRUCTURE - Occupied housing units - 5 or more units,"Estimate; UNITS IN STRUCTURE - Occupied housing units - Mobile home, boat, RV, van, etc.",Estimate; YEAR STRUCTURE BUILT - Occupied housing units,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 1980 to 1999,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 1960 to 1979,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 1940 to 1959,Estimate; YEAR STRUCTURE BUILT - Occupied housing units - Built 1939 or earlier,Estimate; VEHICLES AVAILABLE - Occupied housing units,Estimate; VEHICLES AVAILABLE - Occupied housing units - None,Estimate; VEHICLES AVAILABLE - Occupied housing units - 1 or more,Estimate; HOUSE HEATING FUEL - Occupied housing units,Estimate; HOUSE HEATING FUEL - Occupied housing units - Gas,Estimate; HOUSE HEATING FUEL - Occupied housing units - Electricity,Estimate; HOUSE HEATING FUEL - Occupied housing units - All other fuels,Estimate; HOUSE HEATING FUEL - Occupied housing units - No fuel used,Estimate; SELECTED CHARACTERISTICS - Occupied housing units,Estimate; SELECTED CHARACTERISTICS - Occupied housing units - No telephone service available,Estimate; SELECTED CHARACTERISTICS - Occupied housing units - 1.01 or more occupants per room,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Housing units with a mortgage (excluding units where SMOC cannot be computed),Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Housing units with a mortgage (excluding units where SMOC cannot be computed) - Less than 30 percent,Estimate; SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Housing units with a mortgage (excluding units where SMOC cannot be computed) - 30 percent or more,Estimate; OWNER CHARACTERISTICS - Owner-occupied housing units,Estimate; OWNER CHARACTERISTICS - Owner-occupied housing units - Median value (dollars),Estimate; OWNER CHARACTERISTICS - Owner-occupied housing units - Median selected monthly owner costs with a mortgage (dollars),Estimate; OWNER CHARACTERISTICS - Owner-occupied housing units - Median selected monthly owner costs without a mortgage (dollars),Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Occupied units paying rent (excluding units where GRAPI cannot be computed),Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Occupied units paying rent (excluding units where GRAPI cannot be computed) - Less than 30 percent,Estimate; GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Occupied units paying rent (excluding units where GRAPI cannot be computed) - 30 percent or more,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median gross rent (dollars),Estimate; COMPUTERS AND INTERNET USE - Total households,Estimate; COMPUTERS AND INTERNET USE - Total households - With a computer,Estimate; COMPUTERS AND INTERNET USE - Total households - With a broadband Internet subscription
Alabama,4849377,12.1,19.3,27.7,27.5,31.1,26.2,16.7,18.1,11.2,16.7,31.8,1841217,67.7,32.3,2.59,2.52,1841217,72.3,4.9,10.4,12.4,1841217,3.1,16.6,33.9,28.5,12.9,5.1,1841217,6.5,93.5,1841217,34.6,63.7,1.3,0.4,1841217,2.6,1.7,709538,71.8,28.2,1246080,125600,1119,344,514822,48.3,51.7,530308,717,1841217,78.4,65.8
Alaska,736732,17.2,11.2,15.8,15.3,17.6,14.4,9.7,10.5,4.3,9.4,18.1,249659,62.5,37.5,2.98,2.61,249659,68.5,13.7,13.4,4.4,249659,3.2,16.8,38.4,33,7.2,1.5,249659,8.7,91.3,249659,49.1,12.4,37.7,0.8,249659,1.9,6.5,102965,73,27,156006,254500,1797,545,85522,48.7,51.3,86129,1183,249659,91.5,81.4
Arizona,6731484,13.6,18.2,25.6,25.2,28.3,24.1,15.9,17.6,9.4,15.8,28.1,2428743,61.1,38.9,2.68,2.75,2428743,70.5,4.5,15.8,9.1,2428743,2.3,25.5,38.3,24.8,7.5,1.7,2428743,6.8,93.2,2428743,36.1,59.6,2.6,1.7,2428743,2.5,4.5,949256,70.7,29.3,1484857,176700,1273,368,867740,50.4,49.6,895086,916,2428743,85.5,75.5
Arkansas,2966369,11.8,18.9,26.4,26,30.1,24.4,16.5,18,10.6,15.7,33,1131288,65.8,34.2,2.58,2.49,1131288,72.9,6,9.1,12,1131288,3.4,18,34.6,29.1,10.7,4.3,1131288,6.4,93.6,1131288,47.3,47.8,4.6,0.2,1131288,2.7,2.4,411662,75.5,24.5,744318,112500,995,331,340529,52.5,47.5,347792,683,1131288,79.2,63.5
California,38802500,12.4,16.4,22.7,22.4,23.4,22,14.5,15.3,10.6,13.8,28.7,12758648,53.7,46.3,3.01,2.94,12758648,65.4,8.1,22.8,3.6,12758648,1.4,11.5,26.1,31.6,20.1,9.3,12758648,7.7,92.3,12758648,67.9,26,2.6,3.5,12758648,2.1,8.2,4901097,59.4,40.6,6855688,412700,2068,498,5594601,43.2,56.8,5712348,1268,12758648,88.4,80
Colorado,5355866,10.3,12,15.4,15.1,16.2,14.7,11,11.8,7.1,9,23.5,2039592,63.9,36.1,2.64,2.45,2039592,70.8,4.7,20,4.4,2039592,2.6,19.1,30.8,28.5,11.3,7.7,2039592,5.6,94.4,2039592,75.6,21,3.1,0.4,2039592,2.1,2.6,943842,71,29,1302533,255200,1536,416,697729,49.1,50.9,711281,1020,2039592,90.6,81.2
Connecticut,3596677,6.9,10.8,14.9,14.4,16.8,13.7,9.6,10,7.8,8.2,21.7,1355817,66.4,33.6,2.67,2.35,1355817,65.6,15.9,17.9,0.6,1355817,0.9,7,21.5,27.1,22,21.4,1355817,9.1,90.9,1355817,37.9,15.6,46.2,0.3,1355817,1.5,1.8,626734,65.9,34.1,900039,267200,1994,835,422969,46.4,53.6,433692,1076,1355817,87.1,80.5
Delaware,935614,7.8,12.5,17.7,17.5,20.5,16.4,11,11.9,7.5,9.4,25.5,349743,70.3,29.7,2.64,2.52,349743,75.7,3.8,13,7.5,349743,3.4,18.7,30.9,23.2,15.1,8.7,349743,6.2,93.8,349743,50.6,33.6,15.2,0.6,349743,2.1,1.3,169376,68.7,31.3,245808,230500,1460,439,96884,50.4,49.6,99114,1024,349743,85.2,75.5
District of Columbia,658893,5.3,17.7,26,25.9,24.3,26.8,15.9,16.1,14.5,15.7,20.9,277378,40.6,59.4,2.37,2.13,277378,37.6,9.3,53.1,0,277378,2.6,9.4,6.6,19.5,25,37,277378,34,66,277378,56.5,39.9,2.4,1.3,277378,2.4,3.3,85278,73.5,26.5,112492,486900,2194,637,154321,51.4,48.6,158505,1360,277378,84.9,73.4
Florida,19893297,16.6,16.5,23.8,23.5,26.2,22.5,14.6,15.9,10.5,13.7,27.6,7328046,64.1,35.9,2.63,2.71,7328046,64.5,6.1,21.2,8.2,7328046,2.1,20.1,38,27.5,10.1,2.2,7328046,6.9,93.1,7328046,5.4,92.4,0.4,1.8,7328046,2.9,3,2706479,62.8,37.2,4693821,162700,1364,454,2440412,42.1,57.9,2511244,1003,7328046,85.8,75.8
Georgia,10097343,15.8,18.3,26.3,26.1,29.8,24.8,15.6,16.7,10.4,16,29.4,3587521,62.2,37.8,2.78,2.68,3587521,71.7,5.1,14.7,8.5,3587521,2.2,23.2,39,22.9,8.7,4,3587521,7.3,92.7,3587521,45.1,53.2,1.3,0.4,3587521,2.7,2.4,1482710,70.4,29.6,2232553,147900,1285,391,1235929,47.9,52.1,1275945,882,3587521,84.7,73.4
Hawaii,1419561,5.3,11.4,14.7,14.4,13.8,14.6,10.4,11,8.2,8.6,24.2,450769,56.7,43.3,3.21,2.84,450769,64.5,7.1,28.2,0.1,450769,2.3,13.6,29.7,38.1,12.9,3.5,450769,8.2,91.8,450769,2.9,28.4,3.1,65.6,450769,2.3,8.6,168221,59.4,40.6,255375,528000,2173,488,178734,42.5,57.5,182357,1448,450769,87.4,80.6
