Households; Estimate; Total,Nonfamily households; Estimate; Total,"Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Estimate; $35,000 to $49,999",state,above_50000,college
1841217,608702,18.1,12.9,20.2,13.9,13.4,AL,21.5,20.4
249659,84644,7.1,7.3,12.2,9.8,15.1,AK,48.5,24.1
2428743,849262,13.6,9.7,16.7,13.6,16,AZ,30.4,23.9
1131288,379076,16.3,15.4,19.6,14.5,14.3,AR,19.9,18.2
12758648,3996589,11.2,10,13.1,10.4,12.5,CA,42.8,27.3
2039592,724309,11.7,7.4,13.5,12.6,16,CO,38.8,33.4
1355817,468554,12,7,15.6,10.9,14.6,CT,39.9,32.9
349743,116743,12.7,7.1,14,13,17.1,DE,36.1,26.1
277378,159514,14.3,5.2,7.6,6.8,9.6,DC,56.5,49.1
7328046,2634635,14.2,9.6,17.9,14.1,15.2,FL,29,24.1
3587521,1161129,15.4,10.2,16,13.1,15,GA,30.3,24.7
450769,136618,12.9,7.4,12.5,10.1,14.1,HI,43,27.3
591587,184088,15.5,11.9,19.7,15.8,14,ID,23.1,22.4
4772421,1673237,13.6,8.4,15.9,12.4,14.4,IL,35.3,28.4
2502739,845516,13.3,10.2,19.4,15.8,16.6,IN,24.7,20.8
1241471,439909,12.2,10.6,19.3,14.3,16,IA,27.6,23.4
1109280,380678,13.1,10.3,18.1,15.7,15.7,KS,27.1,27
1712094,587508,19.1,12.5,19,13.4,14.5,KY,21.5,19.3
1718194,605535,19,11.9,17.2,13.2,14.5,LA,24.2,19.8
549841,205256,13.6,13.3,17.5,13.6,14.9,ME,27.1,25.6
2165438,719466,10.3,6.5,11.6,10.1,14.2,MD,47.3,33.3
2549336,938755,11.6,9.7,14.2,10.1,11.8,MA,42.6,35.5
3834574,1349415,14.4,9.8,18.5,14.7,15.6,MI,27,23.4
2129195,759601,10.7,9.1,15.8,12.8,16.6,MN,35,29.6
1095823,357360,20.8,13.9,19.1,14.1,13.8,MS,18.3,18.1
2354809,845993,15.9,10.6,18.1,15,15.5,MO,24.9,23.8
410962,159786,13.4,13,18.5,14.8,15.3,MT,25,26.2
740765,260448,11.6,10,19.1,14.9,16.5,NE,27.9,25.8
1021519,379058,11.5,8.9,16.8,13.9,15.6,NV,33.3,19.9
519756,173855,8,9.5,15.7,13.5,15.1,NH,38.2,31
3194844,991169,11.8,7.3,14.7,10.7,13.2,NJ,42.3,32.5
760916,271384,19.3,10.5,17,11.6,15.6,NM,26,22.8
7282398,2660444,14.4,8.7,13.9,10.8,12.7,NY,39.5,30.4
3790620,1298572,14.5,11.8,18,14,15.7,NC,26,24.3
305431,117631,11.2,9.3,15.6,15.6,16.1,ND,32.2,25
4593172,1669649,14.6,10.2,19.1,14.5,15.3,OH,26.3,22.8
1459759,493243,15.5,11.4,18.3,14.6,15,OK,25.2,21
1535511,569261,13.5,10.1,17,13.4,15.2,OR,30.8,26.8
4945972,1760918,13.6,10.1,18.3,13.4,15,PA,29.6,25.1
409654,152489,15.7,10.9,15.3,11.2,13.6,RI,33.3,27.9
1826914,625298,15.3,12,19.4,14.1,15.1,SC,24.1,22.5
334475,123240,12.7,11.2,17.9,16,17.1,SD,25.1,23.8
2509665,849321,16.7,12,18.9,13.9,15,TN,23.5,21.5
9277197,2870032,13.9,9.6,15.9,12.1,14.7,TX,33.8,23.5
918370,226875,11.8,8.4,16.6,15,15.2,UT,33,25.8
257229,95212,10.7,11.1,17,14.7,14.7,VT,31.8,31.5
3083820,1025000,11.5,8.7,13.5,11,14.1,VA,41.2,31.7
2679601,954502,12,7.6,14.4,12.1,15.2,WA,38.7,28.7
735375,262506,18.5,12.3,22.4,14,13.2,WV,19.6,16.6
2307685,821808,11.2,9.5,18.7,15.1,17.3,WI,28.2,24.3
232594,83562,10.7,8.9,17,15,16.8,WY,31.6,22.8
