Date,Hour,Crime,Zip,Race,Sex,Age,Firearm,Latitude,Longitude
2017-05-28,3,Stolen_Property,64111,W,F,29.0,N,39.053635,-94.595998
2017-11-21,13,Homicide_Non_Negl,64105,B,F,69.0,Y,39.10091,-94.577328
2017-08-02,13,Auto_Theft,64119,W,F,31.0,N,39.17744,-94.572069
2017-08-24,16,Intimidation,64130,W,F,19.0,N,39.033505,-94.547812
2017-03-15,14,Auto_Theft,64157,W,F,62.0,N,39.235881,-94.466171
2017-04-01,19,Possession_Sale_Dist,64131,B,F,70.0,N,39.05184,-94.553782
2017-02-04,13,Homicide_Non_Negl,64106,W,M,35.0,N,39.10091,-94.577328
2017-09-29,12,Forcible_Sodomy,64106,W,M,36.0,N,39.10091,-94.577328
2017-09-29,13,Rape,64106,W,F,18.0,N,39.10091,-94.577328
2017-01-03,14,Armed_Robbery,64109,W,M,24.0,Y,39.068631,-94.569897
2017-01-03,14,Armed_Robbery,64109,W,F,21.0,Y,39.068631,-94.569897
2017-01-01,0,Non_Agg_Assault_Dome,64124,W,F,37.0,N,39.104339,-94.521065
2017-01-01,0,Property_Damage,64106,W,M,45.0,N,39.103347,-94.584171
2017-01-01,0,Property_Damage,64130,B,F,67.0,N,39.054949,-94.543238
2017-01-01,0,Attempted_Suicide,64127,W,F,35.0,N,39.099443,-94.5344
2017-01-01,1,Violation_Full_Order,64157,W,F,42.0,N,39.21658,-94.499005
2017-01-01,1,Non_Agg_Assault_Dome,64138,B,F,42.0,N,38.956186,-94.511185
2017-01-01,2,Non_Aggravated_Assau,64106,W,M,23.0,N,39.098581,-94.58215
2017-01-01,2,Non_Agg_Assault_Dome,64130,B,F,50.0,N,38.997369,-94.542708
2017-01-01,0,Non_Aggravated_Assau,64106,W,M,31.0,N,39.098401,-94.582162
2017-01-01,2,Strong_Arm_Robbery,64117,W,F,27.0,N,39.180167,-94.559292
2017-01-01,2,Non_Aggravated_Assau,64112,W,F,29.0,N,39.0423,-94.593479
2017-01-01,2,Non_Agg_Assault_Dome,64125,W,F,20.0,N,39.104743,-94.482021
2017-01-01,2,Non_Agg_Assault_Dome,64125,W,M,22.0,N,39.104743,-94.482021
2017-01-01,2,Aggravated_Assault,64106,B,M,29.0,Y,39.109328,-94.561911
2017-01-01,2,Aggravated_Assault,64106,B,M,26.0,Y,39.109328,-94.561911
2017-01-01,2,Non_Aggravated_Assau,64113,W,M,42.0,N,39.01194,-94.585017
2017-01-01,2,Property_Damage,64130,B,M,50.0,N,38.957763,-94.548158
2017-01-01,3,Misc_Violation,64110,W,M,29.0,N,39.049977,-94.602094
2017-01-01,3,Non_Aggravated_Assau,64110,B,F,39.0,N,39.055624,-94.562853
2017-01-01,3,Property_Damage,64110,B,F,39.0,N,39.055624,-94.562853
2017-01-01,3,Violation_Full_Order,64133,B,F,32.0,N,39.029372,-94.454416
2017-01-01,0,Property_Damage,64106,B,F,63.0,N,39.080833,-94.55929
2017-01-01,4,Auto_Theft,64111,B,F,33.0,N,39.049142,-94.586538
2017-01-01,4,Auto_Theft,64114,W,M,58.0,N,38.935007,-94.605907
2017-01-01,5,Strong_Arm_Robbery,64130,B,M,50.0,N,39.011483,-94.574649
2017-01-01,5,Agg_Assault_Domest,64130,B,M,43.0,Y,39.022655,-94.547363
2017-01-01,5,Non_Agg_Assault_Dome,64117,W,F,29.0,N,39.174553,-94.52138
2017-01-01,7,Auto_Theft,64131,W,M,32.0,N,38.925612,-94.580468
2017-01-01,9,Stealing_Auto_Parts,64130,B,M,76.0,N,39.02399,-94.534123
2017-01-01,7,Property_Damage,64130,B,F,37.0,N,39.053429,-94.551397
2017-01-01,8,Aggravated_Assault,64130,W,F,38.0,Y,39.017898,-94.562523
2017-01-01,8,Aggravated_Assault,64130,W,M,35.0,Y,39.017898,-94.562523
2017-01-01,9,Stealing_From_Auto,64110,W,F,34.0,N,39.041506,-94.577622
2017-01-01,10,Stealing_All_Other,64118,W,F,63.0,N,39.20658,-94.587189
2017-01-01,9,Property_Damage,64134,B,F,30.0,N,38.947572,-94.489808
2017-01-01,9,Non_Agg_Assault_Dome,64134,B,F,30.0,N,38.947572,-94.489808
2017-01-01,9,Non_Agg_Assault_Dome,64152,W,F,30.0,N,39.25341,-94.646029
