Agency,Population,Murder Offenses,Murder Clearances,Murder Value_Stolen,NgMansl Offenses,NgMansl Clearances,Rape Value_Stolen,Rape Committed Offenses,Rape Committed Clearances,Rape Attempted Offenses,Rape Attempted Clearances,Robbery Highway Offenses,Robbery Highway Value_Stolen,Robbery Commercial_House Offenses,Robbery Commercial_House Value_Stolen,Robbery Gas/Service_Station Offenses,Robbery Gas/Service_Station Value_Stolen,Robbery Chain_Store Offenses,Robbery Chain_Store Value_Stolen,Robbery Residence Offenses,Robbery Residence Value_Stolen,Robbery Bank Offenses,Robbery Bank Value_Stolen,Robbery Miscellaneous Offenses,Robbery Miscellaneous Value_Stolen,Robbery Firearm Offenses,Robbery Firearm Clearances,Robbery Knife_Cutting_Instrument Offenses,Robbery Knife_Cutting_Instrument Clearances,Robbery Other_Dangerous_Weapon Offenses,Robbery Other_Dangerous_Weapon Clearances,Robbery Hands_Fists_Feet_etc. Offenses,Robbery Hands_Fists_Feet_etc. Clearances,AgAsslt Firearm Offenses,AgAsslt Firearm Clearances,AgAsslt Knife_Cutting_Instrument Offenses,AgAsslt Knife_Cutting_Instrument Clearances,AgAsslt Other_Dangerous_Weapon Offenses,AgAsslt Other_Dangerous_Weapon Clearances,AgAsslt Hands_Fists_Feet_etc. Offenses,AgAsslt Hands_Fists_Feet_etc. Clearances,Burglary Residence_Night Offenses,Burglary Residence_Night Value_Stolen,Burglary Residence_Day Offenses,Burglary Residence_Day Value_Stolen,Burglary Residence_Unknown Offenses,Burglary Residence_Unknown Value_Stolen,Burglary Non-residence_Night Offenses,Burglary Non-residence_Night Value_Stolen,Burglary Non-residence_Day Offenses,Burglary Non-residence_Day Value_Stolen,Burglary Non-residence_Unknown Offenses,Burglary Non-residence_Unknown Value_Stolen,Burglary Forcible_Entry Offenses,Burglary Forcible_Entry Clearances,Burglary Unlawful_Entry-No_Force Offenses,Burglary Unlawful_Entry-No_Force Clearances,Burglary Attempted_Forcible_Entry Offenses,Burglary Attempted_Forcible_Entry Clearances,Larceny Pocket-picking Offenses,Larceny Pocket-picking Value_Stolen,Larceny Purse-snatching Offenses,Larceny Purse-snatching Value_Stolen,Larceny Shoplifting Offenses,Larceny Shoplifting Value_Stolen,Larceny From_Motor_Vehicles Offenses,Larceny From_Motor_Vehicles Value_Stolen,Larceny MV_Parts_&_Accessories Offenses,Larceny MV_Parts_&_Accessories Value_Stolen,Larceny Bicycles Offenses,Larceny Bicycles Value_Stolen,Larceny From_Buildings Offenses,Larceny From_Buildings Value_Stolen,Larceny Coin-operated_Machines Offenses,Larceny Coin-operated_Machines Value_Stolen,Larceny All_Other Offenses,Larceny All_Other Value_Stolen,Larceny $200_and_Over Offenses,Larceny $200_and_Over Value_Stolen,Larceny $50_to_$200 Offenses,Larceny $50_to_$200 Value_Stolen,Larceny Under_$50 Offenses,Larceny Under_$50 Value_Stolen,Larceny Clearances,MVTheft Auto Offenses,MVTheft Auto Clearances,MVTheft Trucks_&_Buses Offenses,MVTheft Trucks_&_Buses Clearances,MVTheft Other_Vehicles Offenses,MVTheft Other_Vehicles Clearances,MVTheft Value_Stolen,Arson Structural Offenses,Arson Structural Clearances,Arson Structural Value_Damaged,Arson Mobile Offenses,Arson Mobile Clearances,Arson Mobile Value_Damaged,Arson Other Offenses,Arson Other Clearances,Arson Other Value_Damaged,SmAsslt Offenses,SmAsslt Clearances,Total_Value_Recovered,Murder Weapon Firearm,Murder Weapon Handgun,Murder Weapon Rifle,Murder Weapon Shotgun,Murder Weapon Other_gun,Murder Weapon Knife,Murder Weapon Blunt_Object,Murder Weapon Motor_Vehicle,Murder Weapon Personal_Weap,Murder Weapon Poison,Murder Weapon Explosives,Murder Weapon Fire,Murder Weapon Narcotics,Murder Weapon Asphyxiation,Murder Weapon Other,Murder Weapon Unknown,"Murder Relationship Spouse, Female","Murder Relationship Spouse, Male","Murder Relationship Live-In, Female","Murder Relationship Live-In, Male","Murder Relationship Ex-Live-In, Female","Murder Relationship Ex-Live-In, Male","Murder Relationship Co-Procreator, Female","Murder Relationship Co-Procreator, Male","Murder Relationship Parent, Female","Murder Relationship Parent, Male","Murder Relationship Child, Female","Murder Relationship Child, Male","Murder Relationship Sibling, Female","Murder Relationship Sibling, Male","Murder Relationship Grandparent, Female","Murder Relationship Grandparent, Male","Murder Relationship Grandchild, Female","Murder Relationship Grandchild, Male","Murder Relationship In-law, Female","Murder Relationship In-law, Male","Murder Relationship Stepparent, Female","Murder Relationship Stepparent, Male","Murder Relationship Stepchild, Female","Murder Relationship Stepchild, Male","Murder Relationship Other_Family, Female","Murder Relationship Other_Family, Male","Murder Relationship Neighbor, Female","Murder Relationship Neighbor, Male","Murder Relationship Acquaintance, Female","Murder Relationship Acquaintance, Male","Murder Relationship Boy/Girlfriend, Female","Murder Relationship Boy/Girlfriend, Male","Murder Relationship Babysittee, Female","Murder Relationship Babysittee, Male","Murder Relationship Child_of_Partner, Female","Murder Relationship Child_of_Partner, Male","Murder Relationship Ex-spouse, Female","Murder Relationship Ex-spouse, Male","Murder Relationship Employee, Female","Murder Relationship Employee, Male","Murder Relationship Employer, Female","Murder Relationship Employer, Male","Murder Relationship Friend, Female","Murder Relationship Friend, Male","Murder Relationship Same_Sex_Relat, Female","Murder Relationship Same_Sex_Relat, Male","Murder Relationship Oth_Known_Pers, Female","Murder Relationship Oth_Known_Pers, Male","Murder Relationship Stranger, Female","Murder Relationship Stranger, Male","Murder Relationship Unknown, Female","Murder Relationship Unknown, Male",Murder Circumstance Argument,Murder Circumstance LEOKA,Murder Circumstance Drug_Dealing,Murder Circumstance Gangland,Murder Circumstance Juvenile_Gang,Murder Circumstance Lovers_Quarrel,Murder Circumstance Mercy_Killing,Murder Circumstance Other_Felony,Murder Circumstance Other,Murder Circumstance Unknown,LEOKA Homicides,LEOKA Assault Offenses,LEOKA Assault Clearances
Connecticut,"3,594,649",86,61,262,7,5,"22,707",602,509,29,7,"2,058","838,240",484,"754,445",76,"33,110",202,"125,410",320,"244,146",68,"294,841",320,"413,731","1,148",270,351,125,279,104,"1,750",569,633,266,"1,044",729,"1,805","1,210","1,380",959,"2,639","5,156,896","5,160","9,952,789","1,660","3,290,448","1,328","1,410,115","1,697","3,883,145",421,"733,278","7,475","1,061","4,300",792,"1,130",140,254,"56,195",145,"82,571","10,994","2,990,903","10,874","5,311,327","4,548","3,049,906","1,502","477,966","10,029","15,357,280",84,"98,099","13,641","24,118,759","24,193","49,553,958","12,712","1,777,759","15,166","211,289","11,839","5,149",583,186,10,880,86,"31,649,443",108,43,"3,091,429",73,11,"496,709",90,39,"144,368","29,142","19,844","23,866,392",20,40,,,,12,2,1,7,,,,,1,3,,1,0,,,,1,1,1,2,1,1,2,,,,,0,2,,,,,,,,,,,2,7,7,0,,,2,,,,,,,,0,1,0,1,0,6,1,4,0,43,13,,1,2,,3,,6,27,34,,734,672
Andover,"3,205",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"21,500",2,200,0,0,2,100,1,15,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"6,441",4,"6,441",0,0,0,0,0,0,0,1,0,0,0,"3,950",1,1,1,0,0,0,0,0,0,7,2,"2,200",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Ansonia PD,"19,583",0,0,0,0,0,"15,000",5,0,0,0,11,"4,830",1,239,1,700,1,770,0,0,0,0,2,"12,329",5,1,2,1,1,1,8,3,3,1,2,0,5,2,2,1,20,"16,168",21,"24,577",0,0,12,"1,492",6,"81,341",0,0,38,11,18,4,3,3,0,0,0,0,88,"12,049",40,"8,082",24,"4,609",18,"3,850",63,"133,606",0,0,52,"53,572",115,"204,946",96,"9,529",74,"1,293",68,49,1,0,0,1,0,"239,985",1,1,"10,000",0,0,0,0,0,0,257,165,"171,258",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,4,4
Ashford CSP,"4,325",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,"4,050",5,"15,830",0,0,0,0,4,"8,171",0,0,9,3,3,1,0,0,0,0,0,0,0,0,2,85,0,0,1,100,1,600,0,0,7,"17,402",7,"17,984",2,160,2,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,229,0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Avon PD,"16,709",0,0,0,0,0,0,0,0,0,0,0,0,2,345,0,0,0,0,0,0,0,0,1,130,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,3,850,5,"8,342",0,0,5,"39,678",7,"28,574",0,0,12,0,6,1,2,0,0,0,0,0,36,"24,087",15,"3,765",1,"3,373",0,0,46,"208,874",0,0,20,"131,484",74,"368,081",27,"3,183",17,319,20,5,0,0,0,1,0,"33,003",1,0,1,0,0,0,0,0,0,26,15,"28,261",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Barkhamsted CSP,"3,687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,498,2,"5,650",0,0,2,852,2,"2,500",0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,1,450,1,"1,067",0,0,0,0,10,"13,058",11,"14,449",1,126,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,"1,143",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Beacon Falls CSP,"5,537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,"1,650",5,"5,048",0,0,0,0,1,1,0,0,5,0,5,1,0,0,0,0,0,0,0,0,6,"4,138",2,"1,400",3,"1,075",0,0,0,0,23,"16,166",24,"22,072",7,704,3,3,8,3,1,1,0,2,1,"107,610",0,0,0,0,0,0,0,1,0,42,23,"89,636",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Berlin PD,"19,227",0,0,0,0,0,0,1,0,0,0,1,320,0,0,1,7,0,0,1,157,0,0,1,50,1,1,0,0,1,2,2,1,0,0,0,0,0,0,5,5,8,"11,379",16,"16,443",0,0,10,"12,998",8,"8,901",0,0,22,6,16,6,4,0,0,0,0,0,46,"7,253",42,"108,273",8,"12,162",1,300,38,"56,299",0,0,94,"135,846",125,"314,110",50,"5,253",54,770,48,9,4,1,1,1,0,"141,700",0,0,0,0,0,0,1,1,1,102,62,"7,119",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,4,2
Bethany CSP,"5,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,400,3,635,0,0,1,120,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,5,"1,634",1,140,0,0,1,179,0,0,23,"549,941",21,"551,461",3,419,6,14,3,3,0,0,0,1,0,"16,150",0,0,0,0,0,0,0,0,0,22,13,"2,759",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,0,0
Bethel PD,"19,069",0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,"38,466",0,0,0,0,7,"4,345",17,7,13,6,1,0,0,0,0,0,36,"7,819",17,"5,400",5,"2,323",2,"2,079",16,"9,805",0,0,70,"103,182",75,"126,567",34,"3,704",37,337,45,5,4,0,0,1,0,"23,601",0,0,0,0,0,0,2,1,"10,010",69,61,"32,366",0,0,,,,0,0,0,0,,,,,0,0,,0,0,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,,2,2
