State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,January,12 month-ending,Number of Deaths,4034,100,0,
AK,Alaska,2015,February,12 month-ending,Number of Deaths,4084,100,0,
AK,Alaska,2015,March,12 month-ending,Number of Deaths,4101,100,0,
AK,Alaska,2015,April,12 month-ending,Number of Deaths,4133,100,0,
AK,Alaska,2015,May,12 month-ending,Number of Deaths,4196,100,0,
AK,Alaska,2015,June,12 month-ending,Number of Deaths,4201,100,0,
AK,Alaska,2015,July,12 month-ending,Number of Deaths,4220,100,0,
AK,Alaska,2015,August,12 month-ending,Number of Deaths,4222,100,0,
AK,Alaska,2015,September,12 month-ending,Number of Deaths,4242,100,0,
AK,Alaska,2015,October,12 month-ending,Number of Deaths,4241,100,0,
AK,Alaska,2015,November,12 month-ending,Number of Deaths,4219,100,0,
AK,Alaska,2015,December,12 month-ending,Number of Deaths,4193,100,0,
AK,Alaska,2016,January,12 month-ending,Number of Deaths,4213,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Deaths,4198,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Deaths,4230,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Deaths,4262,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Deaths,4241,100,0,
AK,Alaska,2016,June,12 month-ending,Number of Deaths,4261,100,0,
AK,Alaska,2016,July,12 month-ending,Number of Deaths,4269,100,0,
AK,Alaska,2016,August,12 month-ending,Number of Deaths,4276,100,0.0233863424,
AK,Alaska,2016,September,12 month-ending,Number of Deaths,4256,100,0.0469924812,
AK,Alaska,2016,October,12 month-ending,Number of Deaths,4291,100,0.069913773,
AK,Alaska,2016,November,12 month-ending,Number of Deaths,4289,100,0.0699463744,
AK,Alaska,2016,December,12 month-ending,Number of Deaths,4355,100,0.0688863375,
AK,Alaska,2017,January,12 month-ending,Number of Deaths,4374,100,0.0685871056,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Deaths,4347,100,0.0690131125,*Likely underreported due to incomplete data
AK,Alaska,2017,March,12 month-ending,Number of Deaths,4360,100,0.0688073394,*Likely underreported due to incomplete data
AK,Alaska,2017,April,12 month-ending,Number of Deaths,4326,100,0.0693481276,*Likely underreported due to incomplete data
AK,Alaska,2017,May,12 month-ending,Number of Deaths,4278,100,0.0701262272,*Likely underreported due to incomplete data
AK,Alaska,2017,June,12 month-ending,Number of Deaths,4277,100,0.0701426233,*Likely underreported due to incomplete data
AK,Alaska,2017,July,12 month-ending,Number of Deaths,4238,100,0.0707881076,*Likely underreported due to incomplete data
AK,Alaska,2017,August,12 month-ending,Number of Deaths,4235,100,0.0472255018,*Likely underreported due to incomplete data
AK,Alaska,2017,September,12 month-ending,Number of Deaths,4299,100,0.0232612235,*Likely underreported due to incomplete data
AK,Alaska,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
AK,Alaska,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,
AK,Alaska,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
AK,Alaska,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
AK,Alaska,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,
AK,Alaska,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,
