Expanded Homicide Data Table 8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Murder Victims,,,,,,,
"by Weapon, 2009–2013",,,,,,, 
Weapons,2009,2010,2011,2012,2013,,
Total,13752,13164,12795,12888,12253, , 
Total firearms:,9199,8874,8653,8897,8454, ,
Handguns,6501,6115,6251,6404,5782, ,
Rifles,351,367,332,298,285,,
Shotguns,423,366,362,310,308,,
Other guns,96,93,97,116,123,,
"Firearms, type not stated",1828,1933,1611,1769,1956,,
Knives or cutting instruments,1836,1732,1716,1604,1490,, 
"Blunt objects (clubs, hammers, etc.)",623,549,502,522,428,,
"Personal weapons (hands, fists, feet, etc.)1",817,769,751,707,687,,
Poison,7,11,5,13,11,,
Explosives,2,4,6,8,2,,
Fire,98,78,76,87,94,,
Narcotics,52,45,33,38,53,,
Drowning,8,10,15,14,4,,
Strangulation,122,122,88,90,85,,
Asphyxiation,84,98,92,106,95,,
Other weapons or weapons not stated,904,872,858,802,850,,
1 Pushed is included in personal weapons.,,,,,,,
,,,,,,,
,,,,,,,
 ,,,,,,,
